IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度,速度(MB/s)
104.18.80.50,2052,FALSE,HKG,亚太,香港,35 ms,49166 kB/s,48.01
13.124.44.168,80,FALSE,ICN,亚太,首尔,35 ms,41976 kB/s,40.99
104.19.48.50,2052,FALSE,HKG,亚太,香港,34 ms,40961 kB/s,40
104.18.43.50,2052,FALSE,HKG,亚太,香港,37 ms,40678 kB/s,39.72
34.110.195.160,80,FALSE,LAX,北美洲,洛杉矶,161 ms,38644 kB/s,37.74
34.120.254.145,80,FALSE,LAX,北美洲,洛杉矶,193 ms,35400 kB/s,34.57
104.18.39.50,2052,FALSE,HKG,亚太,香港,36 ms,34080 kB/s,33.28
34.149.64.36,80,FALSE,LAX,北美洲,洛杉矶,161 ms,32387 kB/s,31.63
35.227.217.5,80,FALSE,LAX,北美洲,洛杉矶,189 ms,31675 kB/s,30.93
172.64.229.50,2052,FALSE,HKG,亚太,香港,37 ms,30177 kB/s,29.47
104.19.144.50,2052,FALSE,HKG,亚太,香港,36 ms,30041 kB/s,29.34
8.210.55.134,2087,TRUE,HKG,亚太,香港,46 ms,29241 kB/s,28.56
18.167.20.205,443,TRUE,HKG,亚太,香港,37 ms,28147 kB/s,27.49
172.64.38.50,2052,FALSE,SJC,北美洲,圣何塞,185 ms,27897 kB/s,27.24
132.145.95.170,39637,TRUE,ICN,亚太,首尔,35 ms,27664 kB/s,27.02
18.167.208.181,443,TRUE,HKG,亚太,香港,37 ms,27227 kB/s,26.59
18.183.158.211,443,TRUE,NRT,亚太,东京,40 ms,26715 kB/s,26.09
129.154.192.228,55040,TRUE,ICN,亚太,首尔,37 ms,26708 kB/s,26.08
104.17.112.50,2052,FALSE,HKG,亚太,香港,38 ms,26660 kB/s,26.04
104.19.62.192,443,TRUE,HKG,亚太,香港,35 ms,26391 kB/s,25.77
172.207.169.80,2053,TRUE,NRT,亚太,东京,65 ms,26376 kB/s,25.76
16.163.18.210,443,TRUE,HKG,亚太,香港,37 ms,25783 kB/s,25.18
152.70.249.67,443,TRUE,ICN,亚太,首尔,53 ms,25323 kB/s,24.73
132.226.235.126,59408,TRUE,ICN,亚太,首尔,52 ms,25071 kB/s,24.48
104.18.46.118,2053,TRUE,HKG,亚太,香港,35 ms,25002 kB/s,24.42
64.110.88.46,443,TRUE,NRT,亚太,东京,54 ms,24915 kB/s,24.33
8.218.11.90,2082,FALSE,HKG,亚太,香港,40 ms,24875 kB/s,24.29
104.21.64.50,2052,FALSE,SJC,北美洲,圣何塞,157 ms,24421 kB/s,23.85
146.56.130.130,14850,TRUE,ICN,亚太,首尔,51 ms,24238 kB/s,23.67
45.78.31.169,443,TRUE,HKG,亚太,香港,35 ms,24223 kB/s,23.66
57.181.32.196,443,TRUE,NRT,亚太,东京,42 ms,23819 kB/s,23.26
146.56.42.31,48652,TRUE,ICN,亚太,首尔,51 ms,23750 kB/s,23.19
172.64.156.50,2052,FALSE,HKG,亚太,香港,37 ms,23657 kB/s,23.1
146.56.161.141,45593,TRUE,ICN,亚太,首尔,53 ms,23652 kB/s,23.1
104.17.160.50,2052,FALSE,HKG,亚太,香港,35 ms,23424 kB/s,22.88
3.112.21.102,443,TRUE,NRT,亚太,东京,41 ms,23338 kB/s,22.79
193.122.112.161,10003,TRUE,ICN,亚太,首尔,35 ms,23246 kB/s,22.7
45.14.64.188,46573,TRUE,NRT,亚太,东京,63 ms,23166 kB/s,22.62
132.226.171.158,9527,TRUE,NRT,亚太,东京,52 ms,23059 kB/s,22.52
45.66.130.112,56061,TRUE,NRT,亚太,东京,90 ms,23045 kB/s,22.5
130.162.134.215,2052,TRUE,NRT,亚太,东京,57 ms,22985 kB/s,22.45
104.16.194.227,443,TRUE,HKG,亚太,香港,34 ms,22820 kB/s,22.29
104.18.33.50,2052,FALSE,HKG,亚太,香港,35 ms,22704 kB/s,22.17
8.218.136.25,8880,FALSE,HKG,亚太,香港,39 ms,22397 kB/s,21.87
193.122.103.10,45171,TRUE,NRT,亚太,东京,36 ms,22349 kB/s,21.83
23.227.38.50,2052,FALSE,SEA,北美洲,西雅图,178 ms,22234 kB/s,21.71
13.250.131.37,443,TRUE,SIN,亚太,新加坡,68 ms,22124 kB/s,21.61
104.17.16.50,2052,FALSE,HKG,亚太,香港,37 ms,21954 kB/s,21.44
54.150.91.84,443,TRUE,NRT,亚太,东京,42 ms,21256 kB/s,20.76
104.17.182.46,443,TRUE,HKG,亚太,香港,34 ms,21238 kB/s,20.74
52.221.192.25,8443,TRUE,SIN,亚太,新加坡,67 ms,21050 kB/s,20.56
146.56.145.38,50001,TRUE,ICN,亚太,首尔,50 ms,20955 kB/s,20.46
